State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Potato,Local,Local,29/09/2025,1200,2000,1700,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,03/10/2025,1200,2000,1600,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,07/10/2025,1700,2000,1850,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,04/11/2025,1200,2200,1633,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,09/10/2025,1500,1800,1600,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,27/08/2025,1250,2000,1750,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,20/08/2025,1100,2000,1625,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,26/08/2025,1250,2000,1750,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,29/08/2025,1400,2000,1633,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,30/08/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,19/02/2025,1700,2000,1875,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,09/09/2024,2300,2500,2375,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,12/09/2024,1700,3500,2550,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,17/09/2024,2300,2500,2400,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,07/12/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,21/12/2024,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,15/01/2025,1600,2500,2225,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,21/01/2025,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,23/01/2025,2500,3000,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,27/01/2025,2000,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,29/01/2025,2000,2600,2366,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,11/10/2024,2400,3500,2900,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,22/10/2024,2700,2700,2700,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,05/08/2024,1500,2500,2200,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,27/08/2024,1600,2500,2166,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,23/10/2024,2600,2700,2650,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,26/11/2024,2200,27001,2450,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,06/11/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,22/11/2024,2250,3000,2587,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,13/11/2024,2700,3000,2850,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,14/09/2024,2400,3000,2700,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,18/09/2024,1700,2500,2133,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,25/09/2024,2300,3500,2933,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,28/09/2024,2300,2500,2400,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,07/05/2024,1800,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,17/05/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,20/05/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,27/05/2024,1800,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,29/05/2024,1600,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,07/06/2024,1900,1900,1900,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,08/06/2024,2200,2200,2200,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,13/06/2024,3000,3000,3000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,19/06/2024,2600,3000,3000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,28/06/2024,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,26/04/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,01/01/2024,1200,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/01/2024,1300,2000,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,12/01/2024,1300,1300,1300,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,20/01/2024,1200,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,23/01/2024,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,01/02/2024,1100,1100,1100,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,06/02/2024,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,17/02/2024,1000,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,04/03/2024,1300,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,11/03/2024,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,01/04/2024,1700,2000,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,02/04/2024,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/04/2024,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,13/07/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,20/07/2024,1500,2800,2266,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,10/07/2024,2000,4000,2833,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,23/07/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,08/04/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,09/04/2025,1500,2000,1500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,25/04/2025,2000,2500,2175,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,29/04/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,06/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,15/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,17/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,25/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/06/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,20/07/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,02/08/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,03/08/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,04/09/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/09/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,25/09/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,06/10/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,16/10/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,25/10/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,28/10/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,01/11/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,02/11/2023,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,03/11/2023,1300,1300,1300,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,11/11/2023,1300,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,25/11/2023,1400,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/12/2023,1400,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,12/12/2023,1300,1300,1300,24
