State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,18/09/2025,2000,3000,2650,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/09/2025,1000,3300,2418,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,22/09/2025,250,3000,2055,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,01/11/2025,750,3000,1614,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/10/2025,1000,3000,1670,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/11/2025,500,3000,1531,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,08/10/2025,1000,3000,1937,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,09/10/2025,750,2750,1770,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,27/10/2025,500,3000,1420,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,31/10/2025,1500,3500,2320,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,25/08/2025,1000,3500,2718,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,28/08/2025,2000,3500,2837,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,12/08/2025,3500,4000,3875,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,01/02/2025,250,1000,594,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,03/02/2025,200,750,516,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/02/2025,250,1000,496,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/02/2025,500,800,673,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,04/09/2024,2000,3000,2433,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,18/09/2024,2500,3800,3150,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,21/09/2024,3000,5000,3912,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,02/01/2025,350,1000,649,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,01/01/2025,250,800,589,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,09/01/2025,600,2000,873,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,13/01/2025,400,2000,949,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,07/01/2025,400,2000,862,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,17/01/2025,350,2000,679,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,31/01/2025,500,1000,742,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,25/12/2024,500,2100,1166,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,31/12/2024,250,800,579,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,17/10/2024,3000,5500,4366,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,01/10/2024,4000,6000,4909,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,25/10/2024,2400,5000,3413,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,02/08/2024,2000,3000,2666,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,14/08/2024,2400,3000,2850,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,05/11/2024,2000,4500,3642,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,12/11/2024,1000,4000,2846,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,13/11/2024,1000,4350,3220,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,27/11/2024,1600,5500,3877,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,05/01/2024,800,2500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,05/02/2024,1600,2700,2400,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,13/02/2024,1300,1600,1400,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,04/03/2024,800,1600,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,06/03/2024,1000,1600,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,18/03/2024,1000,1600,1300,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,07/01/2023,200,200,200,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,11/01/2023,400,600,500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,18/03/2023,200,500,400,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,28/03/2023,300,500,400,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,17/04/2023,600,600,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,25/04/2023,400,800,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,04/05/2023,600,800,700,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,23/05/2023,500,700,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,01/06/2023,1500,2000,1700,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,08/06/2023,1200,2000,1700,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,01/08/2023,8000,8000,8000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,03/08/2023,7000,15000,15000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,28/08/2023,3000,5000,4000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,26/09/2023,1000,1500,1200,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,27/09/2023,1000,1000,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,05/10/2023,600,1000,800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,09/10/2023,800,1000,1000,78
